"id","name_en","name_ar","name_he","slug","district_1945","subdistrict_1945","district_isr","type_special","pop_1922","pop_1931","type_1945","grp_1945","pop_1945","pal_1945","jsh_1945","change_2016","type_2016","grp_2016","pop_2016","pal_2016","jsh_2016","oth_2016","start","end","lat","lng","map_20k","id_zo","id_pr","id_as","id_old","id_pq","url_pr","url_pq_en","url_pq_ar","notes"
"67","Sajur","ساجور","","sajur","Galilee","Acre","Northern","","196","254","Village","Palestinian","350","350","","Remaining","Village","Palestinian","4100","4100","","","","","32.942430","35.342274","yes","","1539","","2503","43","GeoPoints/Sajur_1539","","",""
"69","Sha'ab","شعب","שעב","shaab","Galilee","Acre","Northern","","1206","1297","Village","Palestinian","1740","1740","","Remaining","Village","Palestinian","6700","6700","","","","1948-07-18","32.888994","35.242328","yes","","1571","","2505","45","Acre/Sha%27ab","","",""
"70","Suhmata","سحماتا","סֻחמַאתַא","suhmata","Galilee","Acre","","","632","796","Village","Palestinian","1130","1130","","Depopulated","","","","","","","","1948-10-30","33.006181","35.303100","yes","49348","1615","21","2506","46","Acre/Suhmata","17152/suhmata","22208/سحماتا",""
"71","al-Sumayriyya","السميرية","אלסֻמַיְרִיָּה","al-sumayriyya","Galilee","Acre","","","","391","Village","Palestinian","760","760","","Depopulated","","","","","","","","1948-05-14","32.972370","35.093259","yes","49349","1102","4","2507","47","Acre/al-Sumayriyya","16892/al-sumayriyya","22210/السميرية",""
"72","Tamra","طمرة","","tamra-acre","Galilee","Acre","Northern","","1111","1258","Village","Palestinian","1830","1830","","Remaining","City","Palestinian","32800","32800","","","","","32.850966","35.206318","yes","","1632","","2508","48","GeoPoints/Tamra_1632","","",""
"73","Tarbikha","تربيخا","תַרְבּיחָ'א","tarbikha","Galilee","Acre","","","","674","Village","Palestinian","1000","1000","","Built over","","","","","","","","1948-10-31","33.083067","35.285125","yes","49503","1635","26","2509","49","Acre/Tarbikha","17159/tarbikha","22200/تربيخا",""
"74","Tarshiha","ترشيحا","תרשיחא","tarshiha","Galilee","Acre","","","1880","2522","Village","Palestinian","5360","5360","","Depopulated","","","","","","","","1948-10-30","33.010417","35.268444","yes","49508","1637","","2510","983","Acre/Tarshiha","","",""
"75","Umm al-Faraj","أم الفرج","אֻם אלפַרַג","umm-al-faraj","Galilee","Acre","","","377","415","Village","Palestinian","800","800","","Built over","","","","","","","","1948-05-21","33.005299","35.121723","yes","48995","1660","10","2511","50","Acre/Umm-al-Faraj","17164/umm-al-faraj","22196/أم-الفرج",""
"76","Yanuh","يانوح","","yanuh","Galilee","Acre","Northern","","214","306","Village","Palestinian","410","410","","Remaining","Village","Palestinian","6400","6400","","","","","32.983339","35.251491","yes","","1698","","2512","51","GeoPoints/Yanuh_1698","","",""
"77","Yirka","يركا","","yirka","Galilee","Acre","Northern","","978","1196","Village","Palestinian","1500","1500","","Remaining","Village","Palestinian","16500","16500","","","","","32.953825","35.212743","yes","","1708","","2513","52","GeoPoints/Yirka_1708","","",""
